TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,BonusPoints,PaymentType
1,5/4/2025,1034,2059,402,0.0,2048.2,1000,MASTERCARD
2,5/4/2025,1066,2048,403,1.0,321.87,450,VISA
3,5/4/2025,1116,2041,403,3.0,3216.84,0,Discover
4,5/4/2025,1071,2096,404,2.0,1613.23,120,Discover
5,5/4/2025,1020,2060,401,0.0,408.38,130,MASTERCARD
6,5/4/2025,1089,2028,401,0.0,1275.88,500,AMEX
6,5/4/2025,1089,2028,401,0.0,1275.88,120,Discover
7,5/4/2025,1193,2003,402,1.0,346.66,630,VISA
8,5/4/2025,1005,2079,402,1.0,855.49,520,MASTERCARD
9,5/4/2025,1032,2060,401,1.0,735.08,130,MASTERCARD
10,5/4/2025,1119,2089,403,2.0,661.63,450,AMEX
11,5/4/2025,1042,2077,401,,505.65,425,MASTERCARD
12,5/4/2025,1079,2013,401,2.0,0,710,MASTERCARD
13,5/4/2025,1147,2086,404,3.0,4470.5,620,AMEX
14,5/4/2025,1183,2025,401,1.0,503.32,555,AMEX
15,5/4/2025,1026,2089,403,0.0,413.52,425,Discover
16,5/4/2025,1144,2005,403,3.0,1715.12,900,MASTERCARD
17,5/4/2025,1169,2047,401,2.0,535.97,360,VISA
18,5/4/2025,1003,2053,404,0.0,3660.9,410,VISA
19,5/4/2025,1110,2046,404,1.0,30.09,260,VISA
20,5/4/2025,1111,2022,403,3.0,671.18,350,AMEX
21,5/4/2025,1119,2055,403,2.0,?,510,MASTERCARD
22,5/4/2025,1062,2011,403,3.0,1229.22,700,MASTERCARD
23,5/4/2025,1062,2096,404,3.0,672.18,450,Discover
24,5/4/2025,1086,2003,404,2.0,924.43,550,VISA
25,5/4/2025,1046,2062,402,2.0,1981.95,320,MASTERCARD
26,5/4/2025,1066,2043,403,2.0,698.76,120,Discover
27,5/4/2025,1142,2001,402,0.0,1237.05,100,VISA
28,5/4/2025,1061,2092,404,3.0,482.21,600,Discover
29,5/4/2025,1142,2097,402,3.0,4210.5,250,Discover
30,5/4/2025,1165,2091,404,3.0,4528.95,820,Discover
31,2023-13-01,1004,2011,403,1.0,737.53,160,MASTERCARD
32,5/4/2025,1103,2088,402,2.0,0,340,AMEX
33,5/4/2025,1169,2074,403,3.0,0,360,MASTERCARD
34,5/4/2025,1141,2067,403,3.0,872.85,450,MASTERCARD
35,5/4/2025,1190,2070,403,2.0,54.69,650,MASTERCARD
36,5/4/2025,1179,2058,403,2.0,1066.8,750,MASTERCARD
37,5/4/2025,1064,2029,401,1.0,12.16,200,Discover
38,5/4/2025,1080,2015,402,1.0,3037.36,350,MASTERCARD
39,5/4/2025,1055,2094,404,2.0,1578.72,150,Discover
40,5/4/2025,1185,2075,403,0.0,0,840,MASTERCARD
41,5/4/2025,9999,2037,402,2.0,288.11,410,Discover
42,5/4/2025,1045,2038,401,1.0,1667.72,350,Discover
43,5/4/2025,1070,2005,401,2.0,686.05,0,MASTERCARD
44,5/4/2025,1178,2016,404,0.0,0,450,MASTERCARD
45,5/4/2025,1003,2073,403,3.0,1498.29,260,MASTERCARD
46,5/4/2025,1122,2056,403,1.0,944.5,300,MASTERCARD
47,5/4/2025,1013,2032,404,0.0,2836.8,800,Discover
48,5/4/2025,1016,2051,404,0.0,117.32,125,VISA
49,5/4/2025,1147,2080,401,1.0,0,510,MASTERCARD
50,5/4/2025,1038,2072,403,0.0,840.6,320,MASTERCARD
51,5/4/2025,1063,2015,404,1.0,1214.95,220,MASTERCARD
52,5/4/2025,1198,2066,404,3.0,516.06,620,MASTERCARD
53,5/4/2025,1113,2038,404,2.0,2223.62,0,Discover
54,5/4/2025,1145,2079,401,0.0,1901.08,310,MASTERCARD
55,5/4/2025,1195,2026,402,2.0,507.74,180,AMEX
56,5/4/2025,1169,2010,402,1.0,140.11,340,MASTERCARD
57,5/4/2025,1044,2070,401,1.0,0,360,MASTERCARD
58,5/4/2025,1000,2052,404,3.0,2193.78,450,VISA
59,5/4/2025,1074,2004,402,2.0,741.8,650,VISA
60,5/4/2025,1180,2036,404,0.0,217.98,750,Discover
61,5/4/2025,1175,2029,403,1.0,36.48,120,Discover
62,5/4/2025,1108,2014,402,1.0,221.67,650,MASTERCARD
63,5/4/2025,1068,2018,401,0.0,2169.04,130,AMEX
64,5/4/2025,1042,2039,403,3.0,2929.32,0,Discover
65,5/4/2025,1031,2059,403,3.0,0,410,MASTERCARD
66,5/4/2025,1069,2064,404,3.0,1470.2,450,MASTERCARD
67,5/4/2025,1020,2076,401,3.0,4836.42,435,MASTERCARD
68,5/4/2025,1188,2041,403,0.0,1608.42,165,Discover
69,5/4/2025,1023,2029,401,2.0,0,275,Discover
70,5/4/2025,1147,2005,402,3.0,0,200,MASTERCARD
71,5/4/2025,1132,2083,404,2.0,614.53,390,AMEX
72,5/4/2025,1046,2074,404,3.0,659.5,310,MASTERCARD
73,5/4/2025,1023,2060,403,3.0,1225.14,0,MASTERCARD
74,5/4/2025,1085,2041,401,1.0,1447.58,100,Discover
75,5/4/2025,1084,2052,404,2.0,2925.04,110,VISA
76,5/4/2025,1169,2051,401,3.0,117.32,450,VISA
77,5/4/2025,1022,2040,403,2.0,55.26,420,Discover
78,5/4/2025,1029,2098,404,0.0,3631.44,320,Discover
79,5/4/2025,1168,2069,404,3.0,232.39,470,MASTERCARD
80,5/4/2025,1013,2024,403,3.0,372.81,380,AMEX
81,5/4/2025,1160,2056,401,1.0,472.25,120,MASTERCARD
82,5/4/2025,1068,2070,402,2.0,109.38,650,MASTERCARD
83,5/4/2025,1112,2089,404,0.0,2067.6,130,Discover
84,5/4/2025,1007,2080,402,1.0,1498.07,0,MASTERCARD
85,5/4/2025,1079,2070,401,3.0,34.18,410,MASTERCARD
86,5/4/2025,1023,2028,401,3.0,2551.76,450,AMEX
87,5/4/2025,1030,2082,402,3.0,799.8,435,AMEX
88,5/4/2025,1183,2037,403,3.0,2160.84,165,Discover
89,5/4/2025,1123,2060,402,3.0,2450.28,275,MASTERCARD
90,5/4/2025,1141,2018,404,1.0,2440.17,200,AMEX
91,5/4/2025,1153,2065,402,0.0,470.34,390,MASTERCARD
92,5/4/2025,1070,2098,404,2.0,0,310,Discover
93,5/4/2025,1129,2034,401,2.0,108.94,0,Discover
94,5/4/2025,1185,2038,404,1.0,1667.72,120,Discover
95,5/4/2025,1114,2068,404,2.0,656.19,100,MASTERCARD
96,5/4/2025,1085,2070,404,3.0,0,600,MASTERCARD
97,5/4/2025,1082,2024,402,3.0,372.81,250,AMEX
98,5/4/2025,1059,2099,404,0.0,1292.64,820,Discover
99,5/4/2025,1081,2095,404,3.0,490.79,160,Discover
100,5/4/2025,1098,2084,402,3.0,0,340,AMEX
101,5/4/2025,1009,2016,403,0.0,969.06,360,MASTERCARD
102,5/4/2025,1112,2012,404,0.0,1869.57,0,MASTERCARD
103,5/4/2025,1184,2018,404,1.0,488.03,650,AMEX
104,5/4/2025,1019,2060,403,2.0,0,750,MASTERCARD
105,5/4/2025,1159,2088,404,0.0,0,200,AMEX
106,5/4/2025,1084,2086,404,2.0,2861.12,350,AMEX
107,5/4/2025,1160,2091,404,0.0,905.79,0,Discover
108,5/4/2025,1158,2008,402,2.0,159.82,0,MASTERCARD
109,5/4/2025,1058,2095,401,3.0,2453.95,125,Discover
110,5/4/2025,1025,2097,401,3.0,842.1,300,Discover
111,5/4/2025,1042,2088,403,0.0,709.35,250,AMEX
112,5/4/2025,1011,2041,401,2.0,0,450,Discover
113,5/4/2025,1091,2047,404,1.0,0,360,VISA
114,5/4/2025,1062,2067,404,1.0,0,280,MASTERCARD
115,5/4/2025,1043,2022,401,3.0,2684.72,0,AMEX
116,5/4/2025,1158,2087,402,3.0,477.96,0,AMEX
117,5/4/2025,1149,2018,402,3.0,1626.78,100,AMEX
118,5/4/2025,1163,2032,404,2.0,756.48,100,Discover
119,5/4/2025,1170,2001,404,2.0,659.76,350,VISA
120,5/4/2025,1173,2069,402,0.0,464.78,470,MASTERCARD
121,5/4/2025,1113,2044,403,3.0,0,380,Discover
122,5/4/2025,1176,2032,404,2.0,756.48,120,Discover
123,5/4/2025,1050,2049,404,0.0,2819.52,650,VISA
124,5/4/2025,1060,2048,403,2.0,1144.42,130,VISA
125,5/4/2025,1179,2037,401,3.0,1440.56,0,Discover
126,5/4/2025,1070,2001,401,3.0,0,410,VISA
127,5/4/2025,1073,2099,402,2.0,0,450,Discover
128,5/4/2025,1056,2081,402,2.0,0,435,AMEX
129,5/4/2025,1173,2096,402,0.0,672.18,165,Discover
130,5/4/2025,1160,2082,401,2.0,426.56,275,AMEX
131,5/4/2025,1112,2004,403,1.0,1669.05,200,VISA
132,5/4/2025,1023,2037,403,3.0,2160.84,390,Discover
133,5/4/2025,1044,2025,402,2.0,223.7,310,AMEX
134,5/4/2025,1135,2064,403,1.0,793.91,0,MASTERCARD
135,5/4/2025,1065,2061,403,2.0,639.74,100,MASTERCARD
136,5/4/2025,1029,2059,401,1.0,921.69,110,MASTERCARD
137,5/4/2025,1193,2028,404,2.0,1531.06,450,AMEX
138,5/4/2025,1023,2050,401,2.0,298.85,420,VISA
139,5/4/2025,1137,2015,404,2.0,539.98,320,MASTERCARD
140,5/4/2025,1172,2095,403,3.0,2453.95,750,Discover
141,5/4/2025,1163,2047,401,1.0,301.48,150,VISA
142,5/4/2025,1120,2003,403,1.0,1039.99,155,VISA
143,5/4/2025,1165,2008,404,2.0,53.27,135,MASTERCARD
144,5/4/2025,1166,2052,401,1.0,658.13,0,VISA
145,5/4/2025,1011,2004,403,3.0,3709,470,VISA
146,5/4/2025,1029,2012,402,1.0,0,380,MASTERCARD
147,5/4/2025,1099,2058,403,3.0,666.75,120,MASTERCARD
148,5/4/2025,1150,2095,402,3.0,490.79,650,Discover
149,5/4/2025,1167,2012,404,3.0,0,130,MASTERCARD
150,5/4/2025,1071,2004,403,1.0,834.52,0,VISA
151,5/4/2025,1113,2056,402,2.0,839.55,410,MASTERCARD
152,5/4/2025,1025,2087,403,2.0,0,450,AMEX
153,5/4/2025,1015,2050,403,1.0,504.31,435,VISA
154,5/4/2025,1031,2058,401,1.0,2400.3,165,MASTERCARD
155,5/4/2025,1164,2081,401,0.0,2984.88,275,AMEX
156,5/4/2025,1085,2031,402,1.0,508.77,200,Discover
157,5/4/2025,1017,2097,402,1.0,757.89,390,Discover
158,5/4/2025,1059,2042,402,0.0,0,310,Discover
